method,relaxations,time,distance

Dijkstra,398582,0.2355947,16218.0

Dijkstra,632848,0.1292153,9451.0

Dijkstra,869936,0.1317135,9247.0

Dijkstra,958795,0.0547944,4365.0

Dijkstra,1463506,0.2395373,14816.0

Dijkstra,1959692,0.2193193,14849.0

Dijkstra,2256410,0.1470079,7482.0

Dijkstra,2766602,0.2272013,19889.0

Dijkstra,3233052,0.2169155,10083.0

Dijkstra,3285447,0.0304148,3814.0

Dijkstra,3709184,0.2250284,15080.0

Dijkstra,4196097,0.2113973,17458.0

Dijkstra,4254015,0.0351878,2616.0

Dijkstra,4291410,0.0250164,1786.0

Dijkstra,4465264,0.0884197,4711.0

Dijkstra,4902847,0.1939287,17124.0

Dijkstra,5316499,0.1819265,13973.0

Dijkstra,5736945,0.2639634,12182.0

Dijkstra,6080827,0.1470898,8770.0

Dijkstra,6368636,0.1179929,8647.0

Dijkstra,6629424,0.1113906,6095.0

Dijkstra,6642780,0.0066621,1552.0

Dijkstra,7152099,0.2171748,15203.0

Dijkstra,7442743,0.1259445,6774.0

Dijkstra,7995519,0.226667,20060.0

Dijkstra,8552500,0.273404,18112.0

Dijkstra,8686681,0.0589489,5308.0

Dijkstra,8953535,0.1208782,6090.0

Dijkstra,9371394,0.1869183,16540.0

Dijkstra,9698263,0.1345475,15324.0

Dijkstra,9872104,0.0748999,6001.0

Dijkstra,10203780,0.1433467,8994.0

Dijkstra,10490178,0.1072878,11552.0

Dijkstra,10534562,0.0172863,3951.0

Dijkstra,10606788,0.0285072,3447.0

Dijkstra,11100761,0.1987468,20316.0

Dijkstra,11189184,0.0431297,6162.0

Dijkstra,11606329,0.1947698,11453.0

Dijkstra,11629467,0.0137309,1424.0

Dijkstra,11644812,0.0135381,1239.0

Dijkstra,11923220,0.1224155,9086.0

Dijkstra,12349053,0.2065475,13070.0

Dijkstra,12389125,0.0144969,5747.0

Dijkstra,12561847,0.0800452,4764.0

Dijkstra,13002697,0.1813186,11976.0

Dijkstra,13343344,0.1473193,12268.0

Dijkstra,13634400,0.1295457,6560.0

Dijkstra,13966179,0.1439864,10151.0

Dijkstra,14441678,0.2068881,13414.0

Dijkstra,14871718,0.2325028,18498.0

Dijkstra,14900083,0.0113102,2397.0

Dijkstra,15186392,0.1170419,8762.0

Dijkstra,15199916,0.0057572,1973.0

Dijkstra,15408337,0.0772697,9712.0

Dijkstra,15916188,0.2254043,14337.0

Dijkstra,16350626,0.1724527,17231.0

Dijkstra,16627917,0.1235218,6239.0

Dijkstra,16694429,0.027656,6411.0

Dijkstra,16972150,0.1120475,11446.0

Dijkstra,17296092,0.1297612,10142.0

Dijkstra,17830394,0.2369581,16519.0

Dijkstra,18305159,0.2073577,17638.0

Dijkstra,18874467,0.2445113,23988.0

Dijkstra,19155758,0.1273196,7532.0

Dijkstra,19408909,0.0968003,12210.0

Dijkstra,19981481,0.304558,14033.0

Dijkstra,20329319,0.1930304,7788.0

Dijkstra,20653952,0.1490739,11459.0

Dijkstra,20655570,0.0016202,329.0

Dijkstra,20872092,0.0951501,7497.0

