method,relaxations,time
Djikstra,814951,0.2141107
Djikstra,478468,0.08266713
Djikstra,484253,0.10648438
Djikstra,181456,0.055637784
Djikstra,1031307,0.18640812
Djikstra,1013230,0.18626758
Djikstra,606023,0.15305926
Djikstra,1042132,0.28962034
Djikstra,951966,0.2350924
Djikstra,107012,0.08243784
Djikstra,866298,0.21046944
Djikstra,994908,0.26765668
Djikstra,118462,0.026365904
Djikstra,76786,0.018690232
Djikstra,355320,0.09119537
Djikstra,893229,0.13964455
Djikstra,844480,0.14272706
Djikstra,858713,0.19921322
Djikstra,702737,0.12510842
Djikstra,588421,0.13583681
Djikstra,532817,0.1330704
Djikstra,27086,0.029621184
Djikstra,1040705,0.25218394
Djikstra,594120,0.12555443
Djikstra,1129351,0.21093342
Djikstra,1138148,0.27740887
Djikstra,273734,0.048000045
Djikstra,545609,0.11096384
Djikstra,853422,0.14205661
Djikstra,667890,0.1321269
Djikstra,355164,0.078063644
Djikstra,677266,0.121536456
Djikstra,585031,0.09645741
Djikstra,90752,0.018002972
Djikstra,147363,0.02965493
Djikstra,1008496,0.15291172
Djikstra,180460,0.029269245
Djikstra,851646,0.14183567
Djikstra,47372,0.00972916
Djikstra,31861,0.006618155
Djikstra,569247,0.09757749
Djikstra,869619,0.1556842
Djikstra,82173,0.012364369
Djikstra,353013,0.07021894
Djikstra,899795,0.15558271
Djikstra,696227,0.13627762
Djikstra,594924,0.13000111
Djikstra,677684,0.17077385
Djikstra,970676,0.23349139
Djikstra,879170,0.22068128
Djikstra,58079,0.05377051
Djikstra,585055,0.29417515
Djikstra,27632,0.037599023
Djikstra,426113,0.1015866
Djikstra,1037215,0.31207252
Djikstra,888190,0.1948621
Djikstra,566906,0.13218199
Djikstra,135484,0.024357028
Djikstra,567320,0.10097253
Djikstra,661776,0.13226064
Djikstra,1091679,0.26078555
Djikstra,968988,0.17725271
Djikstra,1163150,0.19535972
Djikstra,574555,0.10562802
Djikstra,517363,0.08021766
Djikstra,1169764,0.21282873
Djikstra,710827,0.13460018
Djikstra,662982,0.10832461
Djikstra,3411,0.00178053
Djikstra,441391,0.07610524
Djikstra,1108920,0.1950144
Djikstra,486664,0.083850235
Djikstra,847883,0.13707983
Djikstra,545455,0.10012789
Djikstra,1124448,0.19022249
Djikstra,397507,0.072085164
