method,relaxations,time
Dijkstra,398582,0.3408143
Dijkstra,632848,0.1680189
Dijkstra,869936,0.158398
Dijkstra,958795,0.0660068
Dijkstra,1463506,0.3126769
Dijkstra,1959692,0.2465928
Dijkstra,2256410,0.1846571
Dijkstra,2766602,0.2971762
Dijkstra,3233052,0.321894
Dijkstra,3285447,0.0416577
Dijkstra,3709184,0.2384948
Dijkstra,4196097,0.2479495
Dijkstra,4254015,0.0382937
Dijkstra,4291410,0.0277165
Dijkstra,4465264,0.0893822
Dijkstra,4902847,0.2441162
Dijkstra,5316499,0.2309947
Dijkstra,5736945,0.2617406
Dijkstra,6080827,0.2084994
Dijkstra,6368636,0.2565155
Dijkstra,6629424,0.1377767
Dijkstra,6642780,0.0077593
Dijkstra,7152099,0.292752
Dijkstra,7442743,0.1724963
Dijkstra,7995519,0.2915656
Dijkstra,8552500,0.3134166
Dijkstra,8686681,0.0682147
Dijkstra,8953535,0.148239
Dijkstra,9371394,0.188065
Dijkstra,9698263,0.1515568
Dijkstra,9872104,0.0891932
Dijkstra,10203780,0.1500439
Dijkstra,10490178,0.1228816
Dijkstra,10534562,0.0199731
Dijkstra,10606788,0.0331993
Dijkstra,11100761,0.2220546
Dijkstra,11189184,0.0348107
Dijkstra,11606329,0.1976395
Dijkstra,11629467,0.0105565
Dijkstra,11644812,0.0073573
Dijkstra,11923220,0.1715827
Dijkstra,12349053,0.2361771
Dijkstra,12389125,0.0181751
Dijkstra,12561847,0.1027265
Dijkstra,13002697,0.2408695
Dijkstra,13343344,0.1599151
Dijkstra,13634400,0.1468445
Dijkstra,13966179,0.2151123
Dijkstra,14441678,0.2266222
Dijkstra,14871718,0.1958553
Dijkstra,14900083,0.0137975
Dijkstra,15186392,0.1347331
Dijkstra,15199916,0.0060958
Dijkstra,15408337,0.0915665
Dijkstra,15916188,0.2821253
Dijkstra,16350626,0.2203826
Dijkstra,16627917,0.1752035
Dijkstra,16694429,0.0337315
Dijkstra,16972150,0.127916
Dijkstra,17296092,0.1466102
Dijkstra,17830394,0.2542817
Dijkstra,18305159,0.2439802
Dijkstra,18874467,0.3018883
Dijkstra,19155758,0.1389103
Dijkstra,19408909,0.1094924
Dijkstra,19981481,0.4665239
Dijkstra,20329319,0.2255258
Dijkstra,20653952,0.1763685
Dijkstra,20655570,0.0016835
Dijkstra,20872092,0.1154755
Dijkstra,21414835,0.3775298
Dijkstra,21653174,0.1897166
Dijkstra,22067895,0.4209758
Dijkstra,22334989,0.3037185
Dijkstra,22885323,0.3213794
Dijkstra,23079652,0.1000135
Dijkstra,23134599,0.0276134
Dijkstra,23340071,0.1706852
Dijkstra,23862588,0.3538729
Dijkstra,24113764,0.1477341
Dijkstra,24144029,0.0184939
Dijkstra,24223034,0.0468982
Dijkstra,24785154,0.347992
Dijkstra,25042991,0.206475
Dijkstra,25396087,0.2101888
Dijkstra,25581466,0.1151838
Dijkstra,26153758,0.3454613
Dijkstra,26593646,0.3336463
Dijkstra,26992759,0.2519196
Dijkstra,27453313,0.2984422
Dijkstra,27805911,0.2284632
Dijkstra,27862702,0.0267369
Dijkstra,28118476,0.1675405
Dijkstra,28476514,0.2844499
Dijkstra,28710781,0.1270737
Dijkstra,28962591,0.1179228
Dijkstra,29116290,0.0866316
Dijkstra,29565449,0.2302044
Dijkstra,29594143,0.0471615
Dijkstra,29638357,0.0177837
Dijkstra,29650005,0.005857
Dijkstra,29836134,0.1100255
Dijkstra,29873298,0.0585514
Dijkstra,29979708,0.058767
Dijkstra,30287163,0.2245773
Dijkstra,30523576,0.1524518
Dijkstra,30551560,0.0510615
Dijkstra,31051766,0.3577512
Dijkstra,31505944,0.2614338
Dijkstra,31784121,0.1629399
Dijkstra,32110909,0.1930179
Dijkstra,32486785,0.2409619
Dijkstra,32684851,0.1244863
Dijkstra,33121781,0.3990361
Dijkstra,33658658,0.4997287
Dijkstra,34170012,0.4649637
Dijkstra,34531017,0.251982
Dijkstra,34753858,0.1521784
Dijkstra,35026033,0.1685826
Dijkstra,35462045,0.264005
Dijkstra,35750668,0.2401479
Dijkstra,36264189,0.3165592
Dijkstra,36363078,0.0537254
Dijkstra,36855730,0.2647676
Dijkstra,37413364,0.4012712
Dijkstra,37611560,0.1852904
